TX_ID,BLOCK_ID,BLOCK_TIMESTAMP,SENDER,MSG_KEY,MSG_VALUE,ASSET1_EXPONENT,ASSET2_EXPONENT,ASSET1_SYMBOL,ASSET1_AMOUNT,ASSET2_SYMBOL,ASSET2_AMOUNT,ASSET1_PRICE,ASSET2_PRICE
8B22B838F728EDB694107ACAE26F0F45D5F31B6F507CCE3911291BA7DDB7AD35,4711416,2022-06-07 23:57:15.149,osmo179774zrn5paywpd6p4kspcruaacj54g47xcjdx,tokens_in,null,6,6,ATOM,0.537242,STARS,150.231398,8.887505354,0.02038870793
B8D6A0A5C89069FBCBCFF7A2F89A1A61CA375FC90FE92D141CFA13249C0E1B75,4709692,2022-06-07 20:58:39.689,osmo19jm29h3ch44vnscaul99pw67kkmlgfrvghn8as,tokens_in,null,6,6,ATOM,0.335852,STARS,92.924245,8.887505354,0.02038870793
E256E8EA63524D853881D8A65F6F1FEFB6C8EE825358B0C0D5D7E1AF350EF4E8,4708101,2022-06-07 18:12:40.501,osmo18fl9zr2luz5sff0kkd5h27sn5mk9g3gje6ds93,tokens_in,null,6,6,ATOM,0.095759,STARS,26.518799,8.887505354,0.02038870793
06A02136BDACC997D23F41F2513451A6EEB43BA38E13749E24AFEA1020C414E6,4711430,2022-06-07 23:58:43.586,osmo1enz4x0szrqkxgygac948dyxdfvhwms24hsqgp4,tokens_in,null,6,6,ATOM,0.186561,STARS,52.168923,8.887505354,0.02038870793
5F2457859B1EAFDA75C122B712C41B1CEBF7C272AAF5CB38D582B3DAF5E9C61C,4708245,2022-06-07 18:27:47.062,osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,tokens_in,null,6,6,ATOM,2.600575,STARS,721,8.887505354,0.02038870793
873185526914F70783404500E26BE94C8D045ADCDD3F85BB1D4314E86F88F1CA,4709846,2022-06-07 21:14:36.768,osmo1tcpmk8ztqs3f2rsu0yclzcnqjs7wu7pd9e45qf,tokens_out,null,6,6,ATOM,1.125112,STARS,311.247808,8.887505354,0.02038870793
FDA42AF4CE312EB5165C3984C9CDCFFD25A37A3CA7913BD7B85F9C85ED7D06A9,4710182,2022-06-07 21:49:29.838,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,tokens_out,null,6,6,ATOM,0.42764,STARS,118.260325,8.887505354,0.02038870793
BA5FB0C551E2E4BBDC36F8A503E9ABD14579445AC3851DADB659B0AF06988900,4712718,2022-06-08 02:12:32.137,osmo1wcnj55flkwylm5fvvkfxns23s9jpy5fc237trj,tokens_in,null,6,6,ATOM,4.450498,STARS,1271.948572,8.887505354,0.02038870793
28482BEF83A87B42EFF826EE0BC671E7D9543F367CEDDFE185779B160EE3A077,4709420,2022-06-07 20:30:17.218,osmo108ss9dsdya700yjzvvz9ad5zaf4c9tpaqxy3n8,tokens_in,null,6,6,ATOM,0.40683,STARS,113.188365,8.887505354,0.02038870793
D4020F270D8E631FEF9C0F030E75FD9F4FDE67BD89753DFB0B4A6288E09AEB28,4712274,2022-06-08 01:26:24.253,osmo1qx46s5gen6c88yaauh9jfttmfgdxnxxsckx0ce,tokens_out,null,6,6,ATOM,1.852627,STARS,519.122894,8.887505354,0.02038870793
75384E2EF12B845FA7CD36C19FE4B572BFF07221DFDE1B618019C33EE484801B,4709889,2022-06-07 21:19:02.445,osmo1nftr70d5ak6p2lg6fx9ghevkvwyc7ruzhax53k,tokens_in,null,6,6,ATOM,2.54522,STARS,704.145039,8.887505354,0.02038870793
607071A052BCD4DAEA650F82F54273E0E9348F6B399CC509DBCABC2A76395E5B,4711944,2022-06-08 00:52:11.452,osmo1tgepwzelsxzn82tp6v0qwx49f0zeqrfv6a0edk,tokens_in,null,6,6,ATOM,5.04,STARS,1410.888337,8.887505354,0.02038870793
